title,price,article_link,img_url,description,scraped_date,date_published
Edel-Linon-Bettwäsche,14.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/edel-linon-bettwaesche-5705-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle; Bettbezug, B × L: ca. 135 × 200 cm, und Kissenbezug, B × L: ca. 80 × 80 cm; verschiedene Dessin-/Farbvarianten
",2023-04-19,2023-04-06
Edel-Linon-Kissenbezüge,2.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/edel-linon-kissenbezuege-1000342-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle; B × L: je ca. 40 × 80 cm; verschiedene Farbvarianten
",2023-04-19,2023-04-06
Edel-Linon-Spannbetttuch,8.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/edel-linon-spannbetttuch-5608-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle; mit Rundumgummizug; B × L: ca. 90–100 × 200 cm; verschiedene Farbvarianten
",2023-04-19,2023-04-06
Spannbetttuch,7.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/spannbetttuch-1014244-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle; mit Rundumgummizug; B × L: ca. 90–100 × 200 cm; verschiedene Farbvarianten
",2023-04-19,2023-04-06
Bettwäsche,12.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/bettwaesche-1015748-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle; Bettbezug, B × L: ca. 135 × 200 cm, Kopfkissenbezug, B × L: ca. 80 × 80 cm; verschiedene Motive
",2023-04-19,2023-04-06
Massivholzkommode Skandi,79.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/massivholzkommode-skandi-1014393-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Massives Kiefernholz; mit 4 Schubkästen und Griffausfräsungen; B × H × T: ca. 40 × 90,5 × 40 cm
",2023-04-19,2023-04-06
Plissee-Rollo für Fenster,9.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/plissee-rollo-fuer-fenster-4883-1-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Für Drehkippfenster; lichtdurchlässig, aber blickdicht; Klemmmontage, Klemmbereich: ca. 5–45 mm; inkl. Montagezubehör; verschiedene Größen und Farbvarianten
",2023-04-19,2023-04-06
Plissee-Rollo für Türen,12.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/plissee-rollo-fuer-tueren-8870-2-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Für Drehkipptüren; lichtdurchlässig, aber blickdicht; Klemmmontage, Klemmbereich: ca. 5–45 mm; inkl. Montagezubehör; B × H: ca. 80 × 200 cm; verschiedene Farbvarianten
",2023-04-19,2023-04-06
Kleid,9.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/kleid-1007685-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","50 % Baumwolle, 50 % Modal (TENCEL™); verschiedene Farbvarianten
 
S–L
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Hose,9.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/hose-9740-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","98 % Baumwolle, 2 % Elasthan; verschiedene Farbvarianten
 
36–44
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Pyjama,6.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/pyjama-2723-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle, grau-melange 95 % Baumwolle, 5 % Viskose; verschiedene Dessin- und Modellvarianten
 
S–L
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Canvas-Sneaker,9.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/canvas-sneaker-1007681-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Obermaterial Canvas-Textil und Gummi; Innenausstattung Textil; Gummi-Laufsohle
 
Je nach Modell 37–40, 38–44, 41–45
",2023-04-19,2023-04-06
Trekkingsandalen,19.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/trekkingsandalen-1003262-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Obermaterial Leder, kombiniert mit Synthetik; gepolstertes Textilfutter; lederbezogene Decksohle; TPR-Laufsohle; verschiedene Farbvarianten
 
 37–41
",2023-04-19,2023-04-06
Sweatjacke,12.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/sweatjacke-1000464-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Materialzusammensetzungen und Farbvarianten
 
M–XXL
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Cargoshorts,12.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/cargoshorts-1003227-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reine Baumwolle; verschiedene Farbvarianten
 
48–56
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Pyjama,8.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/pyjama-5784-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Materialzusammensetzungen und Farbvarianten
 
M–XXL
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Retropants,8.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/retropants-1003231-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","95 % Baumwolle, 5 % Elasthan (LYCRA®); verschiedene Farbvarianten
 
M–XXL
 
Weitere Infos rund um das Produkt und den Herstellungsprozess findest du hier.
",2023-04-19,2023-04-06
Trekkingsandalen,19.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/trekkingsandalen-1003263-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Obermaterial Leder, kombiniert mit Synthetik; gepolstertes Textilfutter; lederbezogene Decksohle; TPR-Laufsohle; verschiedene Farbvarianten
 
41–45
",2023-04-19,2023-04-06
